Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
30,C77006,GRM155R61C105KA12D,muRata,0402,,1uF ±10% 16V Ceramic Capacitor X5R 0402,yes,100,50,50,0.0301,3.01,https://www.lcsc.com/product-detail/C77006.html
31,C477674,RC0402FR-0722K6L,YAGEO,0402,,22.6kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0031,0.31,https://www.lcsc.com/product-detail/C477674.html
32,C338078,C2012X5R1E226MT000E,TDK,0805,,22uF ±20% 25V Ceramic Capacitor X5R 0805,yes,2,1,1,0.3199,0.64,https://www.lcsc.com/product-detail/C338078.html
33,C1985480,ABM11-27.000MHZ-D2X-T3,ABRACON,SMD2016-4P,,±20ppm 10pF ±20ppm SMD2016-4P Crystals RoHS,yes,2,1,1,1.6645,3.33,https://www.lcsc.com/product-detail/C1985480.html
34,C12530,CL05A225MQ5NSNC,Samsung Electro-Mechanics,0402,,2.2uF ±20% 6.3V Ceramic Capacitor X5R 0402,yes,100,100,100,0.0065,0.65,https://www.lcsc.com/product-detail/C12530.html
35,C98192,CL21A475KBQNNNE,Samsung Electro-Mechanics,0805,,4.7uF ±10% 50V Ceramic Capacitor X5R 0805,yes,10,10,10,0.1216,1.22,https://www.lcsc.com/product-detail/C98192.html
36,C15742,STM32F405RGT6,ST,LQFP-64(10x10),,ARM Cortex-M4 32 Bit 168MHz 51 LQFP-64(10x10) Microcontrollers RoHS,yes,1,1,1,6.6712,6.67,https://www.lcsc.com/product-detail/C15742.html
37,C100042,CC0603KRX7R9BB103,YAGEO,0603,,10nF ±10% 50V Ceramic Capacitor X7R 0603,yes,50,50,50,0.0151,0.76,https://www.lcsc.com/product-detail/C100042.html
38,C2906941,FRC0402J472 TS,FOJAN,0402,,4.7kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C2906941.html
39,C42931809,ABC02K20R0FT,FH,0402,,20Ω 62.5mW Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C42931809.html
40,C916392,SS8050,JSMSEMI,SOT-23,,Bipolar (BJT) Transistor NPN 25V 1.5A 300mW Surface Mount SOT-23,yes,50,50,50,0.0099,0.50,https://www.lcsc.com/product-detail/C916392.html
41,C2969892,LDL212PV33R,ST,DFN-6(2x2),,"3.3V Positive Fixed DFN-6(2x2) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,2,1,1,9.6535,19.31,https://www.lcsc.com/product-detail/C2969892.html
42,C190862,W25Q128JVPIQ,Winbond,WSON-8-EP(5x6),,128Mbit 2.7V~3.6V 133MHz SPI WSON-8-EP(5x6) Memory RoHS,yes,1,1,1,3.7478,3.75,https://www.lcsc.com/product-detail/C190862.html
