Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
TP21,+5V,1.5mm pad,76.22,-90.855,-90.0,top
TP22,+5V,1.5mm pad,98.69,-112.99,0.0,top
TP23,GND,1.5mm pad,96.88,-112.99,0.0,top
TP24,GND,1.5mm pad,76.22,-87.03,-90.0,top
TP5,GND,1.5mm pad,112.01,-103.78,180.0,top
TP6,4V5,1.5mm pad,112.01,-102.016667,180.0,top
TP7,4V5,1.5mm pad,112.01,-98.49,180.0,top
TP8,4V5,1.5mm pad,112.01,-100.253333,180.0,top
TP9,GND,1.5mm pad,111.65,-88.6,90.0,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,93.689945,-94.48857,0.0,top
U2,ICM-42688-P,LGA-14_L3.0-W2.5-P0.50-TL,107.065,-95.85,0.0,top
U3,MAX7456EUI_,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,99.27,-81.6,90.0,top
U4,MP4420GJ-P,TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL,93.56,-96.98,270.0,bottom
U5,W25Q128JVPIQ,WSON-8_L6.0-W5.0-P1.27-BL-EP,82.9,-87.1,-90.0,top
U7,MP4420GJ-P,TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL,97.79585,-108.925001,270.0,bottom
U8,LDL212PV33R,DFN-6_L2.0-W2.0-P0.50-BL-EP1.45,103.395,-100.32,90.0,bottom
U9,LDL212PV33R,DFN-6_L2.0-W2.0-P0.50-BL-EP1.45,99.115,-85.51,270.0,bottom
Y1,16Mhz,CRYSTAL-SMD_4P-L2.0-W1.6-BL,91.906066,-103.513173,-45.0,top
Y2,27Mhz,CRYSTAL-SMD_4P-L2.0-W1.6-BL,100.3,-81.55,0.0,bottom
